SmokeTypicalAmmount	SmokeSinceStop	RR
0	0	1.0
0-15.0	0	2.58
15.0-35.0	0	6.24
35.0+	0	9.83
0	0-5.0	1.0
0-15.0	0-5.0	1.9866
15.0-35.0	0-5.0	4.8048
35.0+	0-5.0	7.5691
0	5.0-9.5	1.0
0-15.0	5.0-9.5	2.6574
15.0-35.0	5.0-9.5	6.4272
35.0+	5.0-9.5	10.1249
0	9.5-56.0	1.0
0-15.0	9.5-56.0	1.3416
15.0-35.0	9.5-56.0	3.2448
35.0+	9.5-56.0	5.1116
0	56.0+	1.0
0-15.0	56.0+	1.0
15.0-35.0	56.0+	1.0
35.0+	56.0+	1.0
